metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Joao,2020-11-18,well,8.024784441055317,5.4360561148112865,12.84877921298263,-0.00015195134677711708,-0.00031937338232406604,7.955785519559336e-05,1.803226895004711e-05,-0.00014924856498472756,0.00016977934208047454,-0.00029225187429432817,-0.000463995069760791,-3.984860449553663e-05
Joao,2020-11-20,floor,12.23154641237886,7.177334551148924,18.88007961926618,-0.00015414425615610367,-0.000357940537790014,0.000205344319104992,-0.00014234673999170377,-0.00029633001159995887,-2.699762617061371e-06,-0.00027326065197681097,-0.0004969547581316447,1.916800143912066e-05
Joao,2020-11-20,well,11.91081488853677,7.559479547010707,17.891973272544764,-0.00013400123453582942,-0.00036623454539032216,0.0002754425795015949,-0.00014175532748947643,-0.00030783110797986133,4.2860810904233464e-05,-0.000324980576529368,-0.0005887259637397868,2.071432769360142e-05
Joao,2020-11-22,floor,9.204597789592746,5.679672914679217,15.80798447889847,-0.0002458452087403624,-0.0004112658976049062,-4.42927468681464e-05,-5.893579391687067e-05,-0.00022192122247957099,9.170541397983105e-05,-0.00023827713495877637,-0.00045706505327390524,-3.9631829101497154e-05
Joao,2020-11-22,well,10.815640368987726,6.925522086349012,16.576904450436487,-8.364799956447674e-05,-0.0003240312965920728,0.0003914536603041249,-8.131297759094667e-05,-0.00026004957347121923,8.713111101699429e-05,-0.00025754860139321693,-0.0005535248278803886,8.845130985424502e-05
Kyle,2020-11-21,floor,13.245314398590875,7.617166658914459,25.457726188871845,-0.0002757294455813938,-0.000590549152230415,3.194560180964392e-05,-4.631952746110521e-05,-0.0002938750378465605,0.00019514445180878495,-4.0826398302209064e-05,-0.00022631942595112368,0.00018481245955588344
Kyle,2020-11-21,well,16.262056225907898,9.257853361632083,26.55761607152809,-0.00016135489630565334,-0.0005351394380492384,0.00022585856141369112,-0.00022112596366001845,-0.00046595117654266047,3.5266642634817205e-05,-9.767509741675733e-05,-0.0005052400315753603,0.0002341524907082742
Kyle,2020-11-23,floor,16.200752175376586,9.43173024618918,27.793166548000872,-0.0004446001728556744,-0.000754783479151228,-8.872451050805346e-05,-0.00014824186417465137,-0.0003701416586647145,0.00012737096764003727,-9.64690967982539e-06,-0.00028013664459833814,0.0002638202174225118
Kyle,2020-11-23,well,15.641674109436135,9.225724634288127,26.10711393315632,-0.0002986072227193998,-0.0005980761609638607,1.2415295107054355e-05,-0.0001632239764464598,-0.0003946776871372115,9.520991078603816e-05,-0.00010421686005965043,-0.00040758000028388766,0.00013824657378285187
Kyle,2020-11-25,floor,12.468229827655641,7.131945792946288,22.22546927893703,-0.00024513846878249557,-0.0005316016862316749,0.0001633776742609353,-2.038629507212087e-05,-0.0002833858573597418,0.0002989360160642124,-2.3764059819447665e-05,-0.00027168884236398197,0.00022177266894676402
